Timestamp,RSLT,TIME,SAIP,TLIP,S3AI,SACC,S3AK,S3BK,S3KY,CSIZ,ATYP,AMID
1787814081000,SUCS,229869,192.168.1.13,192.168.1.211,55295525968323305569,pepsi,Y5LT3NLZ0SC39RRDOZCT,agentic,gold/local.duckdb,4993024,SPUT,S3RQ
1787815207000,SUCS,46188,192.168.1.13,192.168.1.211,55295525968323305569,pepsi,Y5LT3NLZ0SC39RRDOZCT,agentic,gold/local.duckdb,4993024,SGET,S3RQ
1787815275000,SUCS,249205,192.168.1.13,192.168.1.211,55295525968323305569,pepsi,Y5LT3NLZ0SC39RRDOZCT,agentic,gold/local.duckdb,4993024,SPUT,S3RQ
1787815392000,SUCS,184687,192.168.1.13,192.168.1.211,55295525968323305569,pepsi,Y5LT3NLZ0SC39RRDOZCT,agentic,bronze/sample-docs/2024-02-23-storagegrid-notifications-kafka.md,8165,SPUT,S3RQ
1787815393000,SUCS,72594,192.168.1.13,192.168.1.211,55295525968323305569,pepsi,Y5LT3NLZ0SC39RRDOZCT,agentic,bronze/sample-docs/2022-06-28-kafka-eseries-object-storage.md,24449,SPUT,S3RQ
1787815393000,SUCS,116182,192.168.1.13,192.168.1.211,55295525968323305569,pepsi,Y5LT3NLZ0SC39RRDOZCT,agentic,bronze/sample-docs/2022-07-05-kafka-solidfire-efficiency.md,10158,SPUT,S3RQ
1787815393000,SUCS,162626,192.168.1.13,192.168.1.211,55295525968323305569,pepsi,Y5LT3NLZ0SC39RRDOZCT,agentic,bronze/sample-docs/2026-08-05-kafka-on-netapp-eseries.md,19202,SPUT,S3RQ
1787815405000,SUCS,153641,192.168.1.13,192.168.1.211,55295525968323305569,pepsi,Y5LT3NLZ0SC39RRDOZCT,agentic,gold/local.duckdb,4993024,SGET,S3RQ
1787815406000,SUCS,7297,192.168.1.13,192.168.1.211,55295525968323305569,pepsi,Y5LT3NLZ0SC39RRDOZCT,agentic,bronze/sample-docs/2022-06-28-kafka-eseries-object-storage.md,24449,SGET,S3RQ
1787815410000,SUCS,14566,192.168.1.13,192.168.1.211,55295525968323305569,pepsi,Y5LT3NLZ0SC39RRDOZCT,agentic,bronze/sample-docs/2024-02-23-storagegrid-notifications-kafka.md,8165,SGET,S3RQ
1787815410000,SUCS,13577,192.168.1.13,192.168.1.211,55295525968323305569,pepsi,Y5LT3NLZ0SC39RRDOZCT,agentic,bronze/sample-docs/2022-07-05-kafka-solidfire-efficiency.md,10158,SGET,S3RQ
1787815411000,SUCS,12875,192.168.1.13,192.168.1.211,55295525968323305569,pepsi,Y5LT3NLZ0SC39RRDOZCT,agentic,bronze/sample-docs/2026-08-05-kafka-on-netapp-eseries.md,19202,SGET,S3RQ
1787815413000,SUCS,484968,192.168.1.13,192.168.1.211,55295525968323305569,pepsi,Y5LT3NLZ0SC39RRDOZCT,agentic,gold/local.duckdb,7352320,SPUT,S3RQ
1787815430000,SUCS,114985,192.168.1.13,192.168.1.211,55295525968323305569,pepsi,Y5LT3NLZ0SC39RRDOZCT,agentic,bronze/logs_seed.parquet,167532,SPUT,S3RQ
1787815437000,SUCS,7352,192.168.1.13,192.168.1.211,55295525968323305569,pepsi,Y5LT3NLZ0SC39RRDOZCT,agentic,bronze/logs_seed.parquet,65536,SGET,S3RQ
1787815437000,SUCS,3747,192.168.1.13,192.168.1.211,55295525968323305569,pepsi,Y5LT3NLZ0SC39RRDOZCT,agentic,bronze/logs_seed.parquet,65536,SGET,S3RQ
1787815437000,SUCS,55080,192.168.1.13,192.168.1.211,55295525968323305569,pepsi,Y5LT3NLZ0SC39RRDOZCT,agentic,bronze/logs_seed.parquet,166551,SGET,S3RQ
1787815450000,SUCS,54585,192.168.1.13,192.168.1.211,55295525968323305569,pepsi,Y5LT3NLZ0SC39RRDOZCT,agentic,gold/local.duckdb,7352320,SGET,S3RQ
1787815453000,SUCS,260141,192.168.1.13,192.168.1.211,55295525968323305569,pepsi,Y5LT3NLZ0SC39RRDOZCT,agentic,gold/local.duckdb,7352320,SPUT,S3RQ
1787815619000,SUCS,148545,192.168.1.13,192.168.1.211,55295525968323305569,pepsi,Y5LT3NLZ0SC39RRDOZCT,agentic,gold/local.duckdb,7352320,SGET,S3RQ
1787815635000,SUCS,138304,192.168.1.13,192.168.1.211,55295525968323305569,pepsi,Y5LT3NLZ0SC39RRDOZCT,agentic,gold/local.duckdb,7352320,SGET,S3RQ
1787815650000,SUCS,170134,192.168.1.13,192.168.1.211,55295525968323305569,pepsi,Y5LT3NLZ0SC39RRDOZCT,agentic,gold/local.duckdb,7352320,SGET,S3RQ
1787815669000,SUCS,50162,192.168.1.13,192.168.1.211,55295525968323305569,pepsi,Y5LT3NLZ0SC39RRDOZCT,agentic,gold/local.duckdb,7352320,SGET,S3RQ
1787815672000,SUCS,297053,192.168.1.13,192.168.1.211,55295525968323305569,pepsi,Y5LT3NLZ0SC39RRDOZCT,agentic,gold/local.duckdb,7352320,SPUT,S3RQ
1787815738000,SUCS,262544,192.168.1.13,192.168.1.211,55295525968323305569,pepsi,Y5LT3NLZ0SC39RRDOZCT,agentic,gold/local.duckdb,7352320,SGET,S3RQ
1787816060000,SUCS,230170,192.168.1.13,192.168.1.211,55295525968323305569,pepsi,Y5LT3NLZ0SC39RRDOZCT,agentic,gold/local.duckdb,9187328,SPUT,S3RQ
1787816063000,SUCS,79021,192.168.1.13,192.168.1.211,55295525968323305569,pepsi,Y5LT3NLZ0SC39RRDOZCT,agentic,gold/local.duckdb,8388608,SGET,S3RQ
1787816063000,SUCS,38826,192.168.1.13,192.168.1.211,55295525968323305569,pepsi,Y5LT3NLZ0SC39RRDOZCT,agentic,gold/local.duckdb,798720,SGET,S3RQ
1787816068000,SUCS,7228,192.168.1.13,192.168.1.211,55295525968323305569,pepsi,Y5LT3NLZ0SC39RRDOZCT,agentic,bronze/logs_seed.parquet,16384,SGET,S3RQ
